Attend,Date,Subject
Present,2020-12-18,CG
Absent,2020-12-18,AM-III
Present,2020-12-17,CG
Present,2020-12-17,AM-III
Present,2020-12-17,Switching theory and logic design  lab
Absent,2020-12-16,Switching theory and logic design
Absent,2020-12-16,CG Lab
Present,2020-12-16,CG
Present,2020-12-15,FOCS
Present,2020-12-15,Data structure L
Present,2020-12-15,AM-III
Present,2020-12-14,FOCS
Present,2020-12-14,Ds lab
Present,2020-12-14,AM-III
Present,2020-12-14,Data structure L
Present,2020-12-11,Circuit &sys.
Absent,2020-12-11,AM-III
Present,2020-12-11,CG
Present,2020-12-11,Switching theory and logic design
Absent,2020-12-10,Circuit &sys.
Present,2020-12-10,AM-III
Present,2020-12-09,Circuit &sys.
Present,2020-12-09,Switching theory and logic design
Present,2020-12-09,CG Lab
Absent,2020-12-09,Data structure L
Present,2020-12-09,CG
Present,2020-12-09,FOCS
Present,2020-12-08,FOCS
Absent,2020-12-08,AM-III
Present,2020-12-07,FOCS
Present,2020-12-07,Ds lab
Present,2020-12-07,Data structure L
Present,2020-10-08,CG
Present,2020-09-04,CG
Present,2020-12-02,Switching theory and logic design
Present,2020-12-04,AM-III
Absent,2020-12-02,CG
Present,2020-12-03,CG
Present,2020-12-03,Circuit & sys. Lab
Absent,2020-12-03,AM-III
Present,2020-12-02,Circuit &sys.
Present,2020-12-02,CG Lab
Present,2020-12-02,FOCS
Present,2020-12-02,Data structure L
Present,2020-12-01,FOCS
Present,2020-12-01,AM-III
Present,2020-12-01,Data structure L
Present,2020-11-27,Circuit &sys.
Absent,2020-11-27,AM-III
Absent,2020-11-27,CG
Present,2020-11-27,Switching theory and logic design
Present,2020-11-26,CG
Present,2020-11-26,Circuit & sys. Lab
Present,2020-11-26,AM-III
Present,2020-11-26,Switching theory and logic design  lab
Absent,2020-11-25,Circuit &sys.
Absent,2020-11-25,CG Lab
Present,2020-11-25,CG
Present,2020-11-24,AM-III
Present,2020-11-23,Ds lab
Present,2020-11-23,FOCS
Present,2020-11-23,AM-III
Present,2020-11-23,Data structure L
Absent,2020-11-20,Circuit &sys.
Absent,2020-11-20,CG
Absent,2020-11-20,Switching theory and logic design
Absent,2020-11-20,AM-III
Absent,2020-11-19,Circuit & sys. Lab
Absent,2020-11-19,CG
Present,2020-11-19,AM-III
Present,2020-11-19,Switching theory and logic design  lab
Present,2020-11-18,Switching theory and logic design
Present,2020-11-18,CG Lab
Present,2020-11-18,Data structure L
Present,2020-11-18,CG
Present,2020-11-18,FOCS
Present,2020-11-17,FOCS
Present,2020-11-17,Data structure L
Present,2020-11-17,AM-III
Present,2020-11-12,AM-III
Present,2020-11-11,Circuit &sys.
Present,2020-11-11,CG Lab
Present,2020-11-11,Data structure L
Present,2020-11-11,FOCS
Present,2020-11-11,CG
Present,2020-11-10,FOCS
Present,2020-11-10,Data structure L
Present,2020-11-10,AM-III
Present,2020-11-09,Ds lab
Present,2020-11-09,FOCS
Present,2020-11-09,Data structure L
Present,2020-11-09,AM-III
Present,2020-11-06,CG
Present,2020-11-06,Switching theory and logic design
Present,2020-11-06,AM-III
Present,2020-11-05,CG
Present,2020-11-05,AM-III
Present,2020-11-05,Switching theory and logic design  lab
Present,2020-11-05,Circuit & sys. Lab
Present,2020-11-03,AM-III
